0,1,2,3,4,5,6,7,8,9,10,11,state
61,2817403,Sg. Langat di Jenderam Hilir,Sepang,Sungai Langat,Sg. Langat,19/09/2025 14:15,8.08,7.40,10.40,10.70,11.00,Selangor
62,2817404,Sg. Jenderam di Jenderam Hulu,Sepang,Sungai Langat,Sg. Jenderam,19/09/2025 14:00,9.59,8.90,11.00,12.00,12.30,Selangor
63,2717420,Sg. Jijan di Taman Desa Merpati,Sepang,Sungai Langat,Sg. Jijan,19/09/2025 14:15,8.97,11.10,11.40,11.70,12.00,Selangor
64,2717401,Sg. Labu di Kg. Salak Tinggi,Sepang,Sungai Langat,Sg. Batang Labu,19/09/2025 14:00,6.95,7.00,8.20,8.70,9.20,Selangor
65,2816480,Sg. Labu di Kg. Labu Lanjut (Masjid KLIA),Sepang,Sungai Langat,Sg. Batang Labu,19/09/2025 14:15,3.69,4.10,7.00,8.00,9.00,Selangor
66,2816441,Sg. Langat di Dengkil,Sepang,Sungai Langat,Sg. Langat,19/09/2025 14:00,3.46,3.90,6.40,6.90,7.50,Selangor
67,2816443,Sg. Langat di Bukit Changgang,Kuala Langat,Sungai Langat,Sg. Langat,19/09/2025 14:00,1.59,1.90,3.30,3.80,4.20,Selangor
68,2615480,Sg. Kundang di Kg. Kundang,Kuala Langat,Sungai Kundang,Sg. Kundang,19/09/2025 14:00,1.51,1.80,2.80,3.30,3.80,Selangor
,,,,,,,,,,,,Wilayah Persekutuan Kuala Lumpur
,,,,,,,,,,,,Wilayah Persekutuan Kuala Lumpur
1,3216403,Empangan Batu,Gombak (WPKL),Sungai Klang (WPKL),Sg. Batu,19/09/2025 15:15,99.76,102.70,103.50,104.50,107.30,Wilayah Persekutuan Kuala Lumpur
2,0232011WL,Sg. Batu di Saluran Keluar Empangan Batu (F2),Gombak (WPKL),Sungai Klang (WPKL),Sg. Batu,19/09/2025 15:15,66.53,60.00,68.00,68.50,69.20,Wilayah Persekutuan Kuala Lumpur
3,3117403,Sg. Bunus di Jln. Tun Razak,Kuala Lumpur,Sungai Klang (WPKL),Sg. Bunus,19/09/2025 15:15,30.90,31.00,35.00,35.50,36.00,Wilayah Persekutuan Kuala Lumpur
4,3114114,Sg. Klang di Kg. Berembang,Kuala Lumpur,Sungai Klang (WPKL),Sg. Klang,19/09/2025 15:15,33.80,34.00,37.00,38.00,39.00,Wilayah Persekutuan Kuala Lumpur
5,0232161WL,Sg. Klang di Jalan Tun Razak (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Klang,19/09/2025 15:15,30.27,28.00,33.00,33.50,34.00,Wilayah Persekutuan Kuala Lumpur
6,3116435,Sg. Klang di Jambatan Tun Perak,Kuala Lumpur,Sungai Klang (WPKL),Sg. Klang,19/09/2025 15:15,25.37,25.00,28.00,29.00,30.00,Wilayah Persekutuan Kuala Lumpur
7,3116436,Sg. Klang di Leboh Pasar,Kuala Lumpur,Sungai Klang (WPKL),Sg. Klang,19/09/2025 15:15,23.94,24.00,28.00,29.00,30.00,Wilayah Persekutuan Kuala Lumpur
8,3116430,Sg. Klang di Jambatan Sulaiman,Kuala Lumpur,Sungai Klang (WPKL),Sg. Klang,19/09/2025 15:15,22.45,23.00,27.00,28.25,29.50,Wilayah Persekutuan Kuala Lumpur
9,0230531WL,Sg. Gombak di Kg. Padang Balang (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Gombak,19/09/2025 15:15,38.70,39.30,40.24,40.74,41.24,Wilayah Persekutuan Kuala Lumpur
10,3116433,Sg. Gombak di Jln. Tun Razak,Kuala Lumpur,Sungai Klang (WPKL),Sg. Gombak,19/09/2025 15:15,27.97,29.00,30.00,30.50,31.00,Wilayah Persekutuan Kuala Lumpur
11,3116439,Sg. Gombak di Jln. Parlimen,Kuala Lumpur,Sungai Klang (WPKL),Sg. Gombak,19/09/2025 15:15,24.68,25.00,29.00,30.00,31.00,Wilayah Persekutuan Kuala Lumpur
12,0232001WL,Sg. Batu di Kg. Muda (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Batu,19/09/2025 15:15,44.51,43.00,47.00,48.00,48.90,Wilayah Persekutuan Kuala Lumpur
13,0230501WL,Sg. Batu di Kg. Batu Muda (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Batu,19/09/2025 12:15,38.33,39.70,41.81,42.31,42.81,Wilayah Persekutuan Kuala Lumpur
14,0232211WL,Sg. Batu di Taman Sri Kuching (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Batu,19/09/2025 15:15,33.06,33.00,35.64,36.64,37.74,Wilayah Persekutuan Kuala Lumpur
15,3116434,Sg. Batu di Sentul,Kuala Lumpur,Sungai Klang (WPKL),Sg. Batu,19/09/2025 15:15,29.36,30.00,32.00,32.30,33.00,Wilayah Persekutuan Kuala Lumpur
16,0232201WL,Sg. Toba di Segambut Bahagia TNB (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Toba,19/09/2025 15:15,39.52,39.00,41.30,42.30,42.80,Wilayah Persekutuan Kuala Lumpur
17,0232881WL,Sg. Kayu Ara di Kg. Sg. Penchala (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Kayu Ara,19/09/2025 15:15,39.23,39.00,39.88,40.88,41.48,Wilayah Persekutuan Kuala Lumpur
18,3016401,Sg. Klang di Jambatan Petaling,Kuala Lumpur,Sungai Klang (WPKL),Sg. Klang,19/09/2025 15:15,12.96,14.00,17.00,18.00,19.00,Wilayah Persekutuan Kuala Lumpur
19,0232071WL,Sg. Kerayong di Jalan Kuari (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Kerayong,19/09/2025 15:00,62.60,60.00,64.04,64.54,65.04,Wilayah Persekutuan Kuala Lumpur
20,3117101,Sg. Kerayong di Kg. Cheras Baru,Kuala Lumpur,Sungai Klang (WPKL),Sg. Kerayong,19/09/2025 15:15,60.56,61.00,62.50,63.50,64.50,Wilayah Persekutuan Kuala Lumpur
21,0231971WL,Saluran Masuk Kolam Takungan Flat Sri Johor (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Kerayong,19/09/2025 15:15,28.01,27.00,32.80,33.80,34.80,Wilayah Persekutuan Kuala Lumpur
22,0230551WL,Sg. Midah di Lebuhraya KL-Seremban (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Midah,19/09/2025 15:15,29.50,29.00,33.30,33.80,34.30,Wilayah Persekutuan Kuala Lumpur
23,0232901WL,Sg. Kuyoh di LRT Bukit Jalil (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Kuyoh,19/09/2025 15:15,27.09,27.00,31.15,32.05,33.05,Wilayah Persekutuan Kuala Lumpur
24,0231121WL,Sg. Klang di Leboh Pasar (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Klang,19/09/2025 15:20,23.90,24.00,28.77,29.77,30.77,Wilayah Persekutuan Kuala Lumpur
25,0230431WL,Sg. Batu di Sentul (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Batu,19/09/2025 15:15,-99.99,30.00,31.67,31.97,32.67,Wilayah Persekutuan Kuala Lumpur
26,0230981WL,Sg. Bunus di Kg. Air Panas (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Bunus,19/09/2025 15:15,37.68,39.30,42.20,42.70,43.20,Wilayah Persekutuan Kuala Lumpur
27,0231641WL,Sg. Klang di Jambatan Petaling (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Klang,19/09/2025 15:15,13.00,14.00,16.81,17.81,18.81,Wilayah Persekutuan Kuala Lumpur
28,0231321WL,Sg. Batu di Jinjang (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Batu,19/09/2025 15:00,-99.99,49.50,49.88,50.18,50.38,Wilayah Persekutuan Kuala Lumpur
29,0231101WL,Sg. Klang di Jambatan Tun Perak (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Klang,19/09/2025 15:15,25.48,25.00,27.95,28.95,29.95,Wilayah Persekutuan Kuala Lumpur
30,0230991WL,Sg. Bunus di Jalan Tun Razak (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Bunus,18/09/2025 17:00,24.27,31.00,35.00,35.50,36.00,Wilayah Persekutuan Kuala Lumpur
31,0230231WL,Sg. Gombak di Jalan Tun Razak (F2),Kuala Lumpur,Sungai Klang (WPKL),Sg. Gombak,18/09/2025 21:15,27.81,29.00,30.31,30.81,31.31,Wilayah Persekutuan Kuala Lumpur
32,0231731WL,Sg. Gombak di Gombak Barrage (F2),Gombak (WPKL),Sungai Klang (WPKL),Sg. Gombak,19/09/2025 15:15,46.83,35.00,49.17,50.17,51.17,Wilayah Persekutuan Kuala Lumpur
,,,,,,,,,,,,Negeri Sembilan
,,,,,,,,,,,,Negeri Sembilan
1,2619402,Sg. Linggi di Kg. Mantau,Seremban,Sungai Linggi,Sg. Linggi,19/09/2025 15:00,31.32,32.00,34.00,34.30,35.00,Negeri Sembilan
2,2519422,Sg. Linggi di Kg. Linsum,Seremban,Sungai Linggi,Sg. Linggi,19/09/2025 15:00,5.97,7.00,8.00,9.00,10.00,Negeri Sembilan
3,2421401,Sg. Rembau di Titian Bintangor,Rembau,Sungai Linggi,Sg. Rembau,19/09/2025 15:15,2.49,3.90,4.20,4.50,4.80,Negeri Sembilan
4,0553111WL,Sg. Triang di Kg. Chenor (F1),Jelebu,Sungai Pahang (NS),Sg. Triang,19/09/2025 15:15,113.00,113.00,115.50,115.80,116.50,Negeri Sembilan
5,0533101WL,Sg. Triang di Juntai (F1),Jelebu,Sungai Pahang (NS),Sg. Triang,19/09/2025 15:15,66.58,66.50,67.50,68.25,69.00,Negeri Sembilan
6,2923401,Sg. Serting di Kg. Datok Johan,Jempol,Sungai Pahang (NS),Sg. Serting (NS),19/09/2025 15:00,72.26,72.00,73.50,74.00,74.50,Negeri Sembilan
7,0552171WL,Sg. Serting di Kg. Datok Johan (F1),Jempol,Sungai Pahang (NS),Sg. Serting (NS),19/09/2025 14:45,72.22,72.00,73.50,74.00,74.50,Negeri Sembilan
8,2625413,Sg. Muar di Pekan Rompin,Jempol,Sungai Muar (NS),Sg. Muar (NS),19/09/2025 15:00,27.59,28.00,31.00,32.00,33.00,Negeri Sembilan
9,2722414,Sg. Muar di Ampang Tinggi,Kuala Pilah,Sungai Muar (NS),Sg. Muar (NS),19/09/2025 15:00,77.46,77.00,79.50,80.00,80.50,Negeri Sembilan
10,0241181WL,Sg. Lenggeng di Pekan Lenggeng (F2),Seremban,Sungai Langat (NS),Sg. Lenggeng,19/09/2025 15:15,59.45,59.61,61.00,62.00,63.00,Negeri Sembilan
11,0241161WL,Sg. Batang Benar di Pekan Nilai (F2),Seremban,Sungai Langat (NS),Sg. Batang Benar,19/09/2025 15:15,16.76,16.40,18.00,18.50,19.00,Negeri Sembilan
12,0270491WL,Sg. Simen di Ladang Kombok (F2),Seremban,Sungai Linggi,Sg. Simin,19/09/2025 15:15,22.10,22.13,26.00,26.80,27.50,Negeri Sembilan
13,0260021WL,Sg. Jimah di Kg. Jimah Lama (F2),Port Dickson,Sungai Jimah,Sg. Jimah,19/09/2025 15:15,7.20,8.00,8.30,8.60,9.10,Negeri Sembilan
14,0270621WL,Sg. Sunggala di Kg. Sawah Sunggala (F2),Port Dickson,Sungai Menyala,Sg. Menyala,19/09/2025 15:15,1.94,1.80,3.60,3.80,4.00,Negeri Sembilan
15,0270371WL,Sg. Rembau di Titian Bintangor (F2),Rembau,Sungai Linggi,Sg. Rembau,19/09/2025 15:15,2.67,3.90,4.20,4.50,4.80,Negeri Sembilan
16,0270651WL,Sg. Rembau di Dataran Shahbandar (F2),Rembau,Sungai Linggi,Sg. Rembau,19/09/2025 15:15,-9999.00,1.10,4.00,4.50,5.00,Negeri Sembilan
17,0321481WL,Sg. Palong di Kg. Jeram Panjang (F2),Jempol,Sungai Muar (NS),Sg. Palong,19/09/2025 15:15,24.68,24.60,28.00,29.00,30.00,Negeri Sembilan
18,0321031WL,Sg. Gemas di Kg. Tiong (F2),Tampin,Sungai Muar (NS),Sg. Gemas,19/09/2025 15:15,19.81,19.00,20.50,21.50,22.50,Negeri Sembilan
19,0320401WL,Sg. Gemencheh di Jalan Gemas-Rompin (F2),Tampin,Sungai Muar (NS),Sg. Gemencheh,19/09/2025 15:15,21.61,21.00,24.50,25.50,26.50,Negeri Sembilan
20,032162WL,Sg. Gemas di Bukit Jalor (F2),Tampin,Sungai Muar (NS),Sg. Gemencheh,19/09/2025 15:15,6.94,6.80,15.00,16.00,17.00,Negeri Sembilan
,,,,,,,,,,,,Melaka
,,,,,,,,,,,,Melaka
1,0270231WL,Sg. Siput di Jamb. Sg. Simpang Ampat (F2),Alor Gajah,Sungai Linggi (Melaka),Sg. Linggi,19/09/2025 15:15,23.49,23.00,26.00,27.00,29.00,Melaka
2,0290301WL,Sg. Siput di Kg. Sg. Siput (F2),Alor Gajah,Sungai Linggi (Melaka),Sg. Siput,19/09/2025 15:15,6.63,5.00,7.35,7.50,8.00,Melaka
3,0290271WL,Sg. Batang Tampin di Tanjung Rimau (F2),Alor Gajah,Sungai Melaka,Sg. Batang Tampin,19/09/2025 15:15,25.61,25.00,27.00,28.00,28.50,Melaka
4,0310341WL,Sg. Batang Melaka di Jambatan Tebong (F2),Alor Gajah,Sungai Melaka,Sg. Batang Melaka,19/09/2025 15:15,37.33,36.00,39.00,40.00,41.00,Melaka
5,0290421WL,Sg. Batang Melaka di Gadek (F2),Alor Gajah,Sungai Melaka,Sg. Batang Melaka,19/09/2025 15:15,18.46,19.00,20.00,21.00,22.00,Melaka
6,0290211WL,Sg. Melaka di Melaka Pindah (F2),Alor Gajah,Sungai Melaka,Sg. Melaka,19/09/2025 15:15,10.66,10.00,11.30,11.48,11.90,Melaka
7,0290141WL,Sg. Melaka di Pantai Belimbing (F2),Alor Gajah,Sungai Melaka,Sg. Melaka,19/09/2025 15:15,2.37,5.00,6.00,7.00,8.00,Melaka
8,0290161WL,Sg. Durian Tunggal di Bt. 11 Air Resam (F2),Alor Gajah,Sungai Melaka,Sg. Durian Tunggal,19/09/2025 15:15,5.93,5.00,6.00,7.00,8.00,Melaka
9,0290231WL,Pintu Air Durian Tunggal U/S (F2),Alor Gajah,Sungai Melaka,Sg. Melaka,19/09/2025 15:15,2.67,3.00,3.70,3.79,4.00,Melaka
10,0290221WL,Pintu Air Durian Tunggal D/S (F2),Alor Gajah,Sungai Melaka,Sg. Melaka,19/09/2025 15:15,0.91,3.00,3.70,3.79,4.00,Melaka
11,0310241WL,Sg. Chohong di Chohong (F2),Jasin,Sungai Kesang,Sg. Chohong,19/09/2025 15:15,5.10,11.30,12.80,12.98,13.40,Melaka
12,0310291WL,Empangan Jus (F2),Jasin,Sungai Melaka,Sg. Batang Melaka,19/09/2025 15:15,72.55,71.00,74.00,75.00,77.00,Melaka
13,0310211WL,Sg. Kesang di Selandar (F2),Jasin,Sungai Kesang,Sg. Selandar,19/09/2025 15:15,43.75,42.00,45.00,46.00,48.00,Melaka
14,0310251WL,Sg. Kesang di Rumah Pam Telok Rimba (F2),Jasin,Sungai Kesang,Sg. Kesang,19/09/2025 15:15,3.63,2.20,5.00,5.30,5.60,Melaka
15,0300081WL,Sg. Bemban di Bemban (F2),Jasin,Sungai Duyong,Sg. Bemban,19/09/2025 15:15,5.73,5.00,7.40,7.70,8.00,Melaka
16,0290241WL,Pintu Air Klebang Besar U/S (F2),Melaka Tengah,Sungai Melaka,Sg. Malim,19/09/2025 15:15,0.91,0.50,1.40,1.58,2.00,Melaka
17,0290351WL,Pintu Air Klebang Besar D/S (F2),Melaka Tengah,Sungai Melaka,Sg. Malim,19/09/2025 15:15,-0.15,0.50,1.40,1.58,2.00,Melaka
18,0290341WL,Pintu Air Cheng U/S (F2),Melaka Tengah,Sungai Melaka,Sg. Melaka,19/09/2025 15:15,0.63,1.70,2.20,2.85,3.50,Melaka
19,0290331WL,Pintu Air Cheng D/S (F2),Melaka Tengah,Sungai Melaka,Sg. Melaka,19/09/2025 15:15,0.64,1.70,2.20,2.29,3.50,Melaka
20,0290491WL,Sg. Putat di Kg. Sg. Putat (F2),Melaka Tengah,Sungai Melaka,Sg. Putat,19/09/2025 15:15,0.86,1.00,3.00,4.00,5.00,Melaka
21,0310271WL,Barrage Sungai Melaka D/S (F2),Melaka Tengah,Sungai Melaka,Sg. Melaka,19/09/2025 15:15,0.79,-2.00,1.00,2.00,4.00,Melaka
,,,,,,,,,,,,Johor
,,,,,,,,,,,,Johor
1,2626401,Sg. Muar di Kg. Awat,Segamat,Sungai Muar,Sg. Muar,19/09/2025 12:45,16.01,18.00,18.95,19.35,19.95,Johor
2,2526411,Sg. Muar di Buloh Kasap,Segamat,Sungai Muar,Sg. Muar,19/09/2025 12:45,4.51,7.30,7.92,8.53,9.14,Johor
3,2430409,Sg. Juaseh di Ayer Panas,Segamat,Sungai Muar,Sg. Juaseh,19/09/2025 12:45,44.39,45.00,45.80,46.40,47.00,Johor
4,2529401,Sg. Juaseh di Felda Kemelah,Segamat,Sungai Muar,Sg. Juaseh,19/09/2025 12:45,18.60,25.00,27.00,27.60,28.20,Johor
5,2530401,Sg. Segamat di Segamat Kecil,Segamat,Sungai Muar,Sg. Segamat,19/09/2025 12:45,34.18,34.00,36.10,36.70,37.30,Johor
6,2528414,Sg. Segamat di Bandar Segamat,Segamat,Sungai Muar,Sg. Segamat,19/09/2025 12:45,2.73,5.00,7.92,8.53,9.14,Johor
7,0200012,Sg. Muar di Jeti Kg. Tekam,Segamat,Sungai Muar,Sg. Muar,19/09/2025 11:45,1.33,2.00,2.50,3.50,4.00,Johor
8,2330402,Sg. Labis di Kg. Gatom,Segamat,Sungai Muar,Sg. Labis,19/09/2025 12:45,36.91,36.00,39.90,40.50,41.10,Johor
9,2130402,Sg. Lenik di Kangkar Chaah,Segamat,Sungai Batu Pahat,Sg. Lenik,19/09/2025 12:45,8.38,11.00,12.60,12.72,13.00,Johor
10,2328401,Sg. Muar di Bukit Kepong,Muar,Sungai Muar,Sg. Muar,19/09/2025 12:45,0.60,1.00,2.00,2.74,3.30,Johor
11,2127401,Sg. Muar di Kg. Olak Sepam,Muar,Sungai Muar,Sg. Muar,19/09/2025 12:45,1.16,1.65,2.00,2.30,2.50,Johor
12,2127474,Sg. Muar di Panchor,Muar,Sungai Muar,Sg. Muar,19/09/2025 12:45,1.05,0.52,2.00,2.30,2.50,Johor
13,0230996,Sg. Terap di Kg. Parit Wahid,Muar,Sungai Muar,Sg. Terap,19/09/2025 12:45,1.81,1.20,4.00,5.00,6.00,Johor
14,2026402,Sg. Terap di Kg. Sg. Terap,Muar,Sungai Muar,Sg. Terap,19/09/2025 12:45,0.15,0.50,2.15,2.50,2.75,Johor
15,0152637,Sg. Sarang Buaya di Kg. Parit Tengah,Muar,Sungai Sarang Buaya,Sg. Sarang Buaya,19/09/2025 12:45,1.70,0.50,2.00,3.00,4.00,Johor
16,2226402,Sg. Belemang Besar di Simpang 5 Darat,Tangkak,Sungai Muar,Sg. Muar,19/09/2025 12:45,3.43,2.70,4.00,5.00,5.50,Johor
17,2125410,Sg. Senduk,Tangkak,Sungai Muar,Sg. Senduk,19/09/2025 12:45,-0.04,0.10,0.50,0.80,1.00,Johor
18,2025401,Pintu Air Tanjung Agas,Tangkak,Sungai Muar,Sg. Muar,19/09/2025 12:45,-0.22,1.20,4.00,5.00,6.00,Johor
19,2225401,Sg. Tangkak di Kg. Seri Ma'amor,Tangkak,Sungai Kesang (Johor),Sg. Tangkak,19/09/2025 12:45,1.77,2.00,3.00,3.50,4.00,Johor
20,2027401,Sg. Kesang di Telok Rimba,Tangkak,Sungai Kesang (Johor),Sg. Kesang,19/09/2025 12:45,1.75,2.20,2.50,3.00,3.50,Johor
21,2130401,Sg. Lenik di Ladang Chaah,Batu Pahat,Sungai Batu Pahat,Sg. Lenik,19/09/2025 12:45,4.76,5.00,6.00,6.50,7.00,Johor
22,2030401,Empangan Bekok,Batu Pahat,Sungai Batu Pahat,Sg. Bekok,19/09/2025 12:45,16.12,16.00,18.20,18.70,19.20,Johor
23,2030402,Sg. Bekok di Bandar Yong Peng,Batu Pahat,Sungai Batu Pahat,Sg. Bekok,19/09/2025 12:45,0.80,1.60,2.00,2.40,2.74,Johor
24,1931425,Empangan Sembrong,Batu Pahat,Sungai Batu Pahat,Sg. Sembrong,19/09/2025 12:45,8.72,9.00,10.00,11.00,12.00,Johor
25,1931423,Sg. Sembrong di Bt. 2 Sembrong,Batu Pahat,Sungai Batu Pahat,Sg. Sembrong,19/09/2025 12:45,1.38,2.10,2.74,3.20,3.66,Johor
26,1831480,Sg. Sembrong di Parit Karjo,Batu Pahat,Sungai Batu Pahat,Sg. Sembrong,19/09/2025 12:45,0.74,1.30,2.00,2.10,2.30,Johor
27,1829454,Sg. Simpang Kanan di Parit Besar,Batu Pahat,Sungai Batu Pahat,Sg. Simpang Kanan,19/09/2025 12:45,0.56,0.50,1.60,1.80,2.00,Johor
28,1841499,Sg. Simpang Kanan di Parit Belemam,Batu Pahat,Sungai Batu Pahat,Sg. Simpang Kanan,19/09/2025 12:45,1.05,1.00,2.00,2.30,2.50,Johor
29,1929401,Sg. Simpang Kiri di Sri Medan,Batu Pahat,Sungai Batu Pahat,Sg. Simpang Kiri,19/09/2025 12:45,0.00,1.40,2.00,2.09,2.30,Johor
30,1928462,Sg. Simpang Kiri di Parit Sulong,Batu Pahat,Sungai Batu Pahat,Sg. Simpang Kiri,19/09/2025 12:45,0.85,0.50,1.40,1.60,1.80,Johor
31,1928464,Sg. Simpang Kiri di Tebing Tinggi,Batu Pahat,Sungai Batu Pahat,Sg. Simpang Kiri,19/09/2025 12:45,0.33,0.50,2.00,2.50,3.00,Johor
32,1829478,Sg. Batu Pahat di JPS Batu Pahat,Batu Pahat,Sungai Batu Pahat,Sg. Batu Pahat,19/09/2025 12:45,2.30,1.00,2.30,2.60,3.00,Johor
33,1730482,Sg. Senggarang di Senggarang,Batu Pahat,Sungai Senggarang,Sg. Senggarang,19/09/2025 12:45,2.48,2.70,3.00,3.15,3.50,Johor
34,1731492,Sg. Rengit di Rengit,Batu Pahat,Sungai Rengit,Sg. Rengit,19/09/2025 12:45,-0.16,1.00,2.50,2.70,2.90,Johor
35,2232402,Sg. Paloh di Pekan Paloh,Kluang,Sungai Endau,Sg. Paloh,19/09/2025 12:45,32.23,32.00,35.00,36.00,37.00,Johor
36,2033490,Sg. Mengkibol di Bandar Kluang,Kluang,Sungai Endau,Sg. Mengkibol,19/09/2025 12:45,22.61,23.00,24.00,24.50,25.00,Johor
37,2135401,Sg. Kahang di Kg. Contoh,Kluang,Sungai Endau,Sg. Kahang,19/09/2025 12:45,11.11,10.00,13.80,14.10,14.50,Johor
38,1832401,Empangan Machap,Kluang,Sungai Benut,Sg. Benut,19/09/2025 12:45,15.26,16.50,17.00,17.10,17.40,Johor
39,1833401,Sg. Benut di Simpang Renggam,Kluang,Sungai Benut,Sg. Benut,19/09/2025 12:45,4.91,5.00,6.10,6.60,7.00,Johor
40,1834403,Sg. Siam di Kg. Sg. Siam,Kulai,Sungai Johor,Sg. Sayong,19/09/2025 12:45,18.04,19.00,20.10,20.40,20.70,Johor
41,1735401,Sg. Siku di Kg. Murni Jaya,Kulai,Sungai Johor,Sg. Sayong,19/09/2025 12:45,17.04,15.00,17.50,17.80,18.10,Johor
42,No Data,Kolam Air di Bt. 21 Kulai,Kulai,Sungai Skudai,Sg. Skudai,19/09/2025 12:45,23.43,22.00,24.00,24.50,25.00,Johor
43,1636401,Sg. Skudai di Kg. Separa,Kulai,Sungai Skudai,Sg. Skudai,19/09/2025 11:45,14.09,14.00,16.00,16.50,17.00,Johor
44,1536401,Kolam Air di Taman Aman,Kulai,Sungai Skudai,Sg. Skudai,19/09/2025 12:45,23.16,23.00,23.70,24.20,24.70,Johor
45,1734402,Sg. Ulu Pontian Besar di Kg. Melayu Bukit Batu,Kulai,Sungai Pontian Besar,Sg. Pontian Besar,19/09/2025 12:45,8.64,9.00,10.50,11.00,11.50,Johor
46,1534413,Sg. Pontian Besar di Kg. Kabong,Pontian,Sungai Pontian Besar,Sg. Pontian Besar,19/09/2025 12:45,0.19,1.20,4.00,5.00,6.00,Johor
47,1534403,Sg. Ayer Hitam di Kg. Paya Embun,Pontian,Sungai Pontian Besar,Sg. Ayer Hitam,19/09/2025 12:45,2.81,3.50,4.50,5.00,5.50,Johor
48,1732405,Pintu Air Parit Salleh,Pontian,Sungai Benut,Sg. Benut,19/09/2025 12:45,0.83,0.00,2.00,2.30,3.00,Johor
49,1435404,Sg. Pulai di Kg. Ulu Pulai,Pontian,Sungai Pulai,Sg. Pulai,19/09/2025 12:45,1.65,0.50,2.40,2.70,3.00,Johor
50,No Data,Sg. Gelang Patah di Kg. Baru Muafakat,Johor Bahru,Sungai Pulai,Sg. Gelang Patah,19/09/2025 12:45,0.99,0.50,2.72,2.92,3.22,Johor
51,7239550,Kolam Air di Nusa Duta,Johor Bahru,Sungai Danga,Sg. Danga,19/09/2025 12:45,0.93,3.00,4.00,5.00,6.00,Johor
52,1536413,Sg. Skudai di Kg. Laut,Johor Bahru,Sungai Skudai,Sg. Skudai,19/09/2025 11:45,1.32,1.00,2.30,2.60,3.00,Johor
53,1436401,Parit Keliling di Kg. Pasir,Johor Bahru,Sungai Skudai,Sg. Skudai,19/09/2025 12:45,-0.45,-0.30,0.00,0.50,1.00,Johor
54,1537401,Sg. Tebrau di Kg. Maju Jaya,Johor Bahru,Sungai Tebrau,Sg. Tebrau,19/09/2025 12:45,4.88,7.90,8.20,8.80,9.40,Johor
55,1537402,Sg. Tebrau di Taman Sri Pandan,Johor Bahru,Sungai Tebrau,Sg. Tebrau,19/09/2025 11:45,1.71,1.00,1.80,2.00,2.30,Johor
56,1538401,Sg. Plentong di Klinik Desa Plentong,Johor Bahru,Sungai Tebrau,Sg. Plentong,19/09/2025 12:45,0.66,1.00,3.00,3.50,4.00,Johor
57,1438402,Sg. Masai di Kg. Sepakat,Johor Bahru,Sungai Masai,Sg. Masai,19/09/2025 12:45,2.74,2.00,4.70,5.30,5.90,Johor
58,11111222,Sg. Tiram di Kg. Bukit Dagang,Johor Bahru,Sungai Johor,Sg. Tiram,19/09/2025 11:45,1.55,1.00,2.00,3.00,4.00,Johor
59,1836446,Sg. Linggiu di Linggiu,Kota Tinggi,Sungai Johor,Sg. Linggiu,19/09/2025 12:45,25.63,26.00,28.00,29.00,30.00,Johor
60,1737451,Sg. Johor di Rantau Panjang,Kota Tinggi,Sungai Johor,Sg. Johor,19/09/2025 12:45,2.77,4.00,7.60,8.70,9.80,Johor
61,,Sg. Kepala Orang di Kg. Sri Jaya,Kota Tinggi,Sungai Johor,Sg. Kepala Orang,19/09/2025 12:45,5.54,6.00,7.00,7.50,8.00,Johor
62,1738401,Sg. Johor di Kota Tinggi,Kota Tinggi,Sungai Johor,Sg. Johor,19/09/2025 12:45,1.41,0.50,2.00,2.30,2.60,Johor
63,1442402,Sg. Pungai di Punggai,Kota Tinggi,Sungai Punggai,Sg. Punggai,19/09/2025 12:45,0.90,0.00,1.10,1.30,1.50,Johor
64,1841402,Sg. Sedili Kecil di Sedili Kecil,Kota Tinggi,Sungai Sedili Kecil,Sg. Sedili Kecil,19/09/2025 12:45,0.60,0.70,1.90,2.20,2.50,Johor
65,2536468,Sg. Endau di Kg. Labong,Mersing,Sungai Endau,Sg. Endau,19/09/2025 12:45,1.19,0.50,1.80,2.00,2.20,Johor
66,7360911,Sg. Tenglu Kecil di Kg. Tenglu Kecil,Mersing,Sungai Tenglu Besar,Sg. Tenglu Kecil,19/09/2025 11:45,-0.01,0.00,1.20,1.50,1.80,Johor
